user_id,Join_Date,subscription_id,Country,Gender,Age
1,2021-11-20,S01,Canada,Male,67
2,2022-09-03,S01,Canada,Female,43
3,2022-11-11,S03,Australia,Female,50
4,2021-02-13,S05,Spain,Male,71
5,2020-08-13,S01,Canada,Male,53
6,2022-09-13,S02,Germany,Female,80
7,2022-05-31,S02,Chile,Male,65
8,2020-06-06,S01,Netherlands,Female,40
9,2020-03-09,S01,Mexico,Male,49
10,2021-05-29,S04,United Kingdom,Male,20
11,2022-08-24,S02,Spain,Male,77
12,2020-10-03,S03,Chile,Female,52
13,2020-04-04,S01,United Kingdom,Male,18
14,2022-02-19,S02,United States,Female,73
15,2021-06-19,S02,Italy,Female,58
16,2021-11-03,S02,Australia,Other,78
17,2020-04-26,S01,Pakistan,Female,46
18,2021-07-02,S03,United States,Male,28
19,2022-07-23,S01,Philippines,Female,24
20,2022-09-04,S01,Brazil,Female,77
21,2022-10-08,S01,Sweden,Female,32
22,2022-12-10,S01,Philippines,Male,20
23,2020-07-10,S03,Turkey,Male,33
24,2022-12-11,S01,Algeria,Male,27
25,2020-06-27,S01,United States,Female,74
26,2022-11-20,S02,United States,Female,50
27,2021-03-05,S03,Mexico,Female,74
28,2020-07-15,S02,Denmark,Female,49
29,2020-06-14,S01,Ghana,Female,41
30,2021-05-13,S02,Algeria,Male,53
31,2022-09-21,S01,Venezuela,Female,48
32,2022-08-19,S01,Poland,Male,37
33,2021-02-15,S01,South Korea,Female,26
34,2021-10-20,S01,Brazil,Female,53
35,2021-09-25,S01,Canada,Female,22
36,2022-03-02,S01,Canada,Female,68
37,2022-05-01,S01,Peru,Female,57
38,2022-02-16,S01,Mexico,Male,37
39,2022-02-18,S01,Brazil,Female,63
40,2020-02-13,S01,Poland,Female,60
41,2021-03-22,S01,Norway,Male,55
42,2021-06-20,S01,Ethiopia,Female,62
43,2022-07-01,S02,Brazil,Female,72
44,2020-02-07,S02,United States,Female,56
45,2022-11-23,S01,Chile,Male,23
46,2020-08-04,S01,Peru,Female,66
47,2021-04-07,S02,Spain,Female,49
48,2020-03-20,S01,China,Female,68
49,2020-05-20,S03,Denmark,Male,22
50,2021-01-25,S04,Canada,Male,36
51,2020-08-22,S02,Netherlands,Male,38
52,2022-07-18,S01,Peru,Female,56
53,2021-10-02,S01,Canada,Male,76
54,2022-10-23,S02,Sweden,Female,53
55,2022-01-20,S02,United Kingdom,Female,61
56,2020-04-02,S01,Canada,Female,61
57,2021-07-22,S03,Denmark,Male,56
58,2022-05-09,S03,Poland,Female,35
59,2021-04-22,S01,Norway,Male,69
60,2021-09-20,S03,France,Female,26
61,2021-05-25,S01,Vietnam,Female,55
62,2020-01-20,S02,Canada,Male,18
63,2020-07-26,S01,Germany,Male,55
64,2022-12-21,S02,Colombia,Male,44
65,2020-06-11,S01,Chile,Male,58
66,2022-04-26,S03,Sweden,Female,61
67,2020-08-09,S02,Italy,Female,46
68,2021-01-28,S01,Malaysia,Male,79
69,2022-03-28,S01,Netherlands,Male,18
70,2021-12-14,S01,India,Female,73
71,2020-11-29,S03,Canada,Male,34
72,2020-09-25,S01,Chile,Female,60
73,2022-11-10,S05,Italy,Male,54
